"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","triad_index","one_key","two_key","three_key","target1","target2","distractor","target1_rank","target2_rank","distractor_rank","target1_choice","target2_choice","distractor_choice","targets_diff","is_blank","actual_choice"
"","","","","","html-keyboard-response","61","743824","0.0-3.0-0.29","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Wissotzky.png', width=""189.69072164948454"", height=""300""></span></span>
                      <span><span><img src='stimuli\FuseTeaGreen.png', width=""123.39331619537275"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target2","target1","stimuli\Branflakesextra.png","stimuli\FuseTeaGreen.png","stimuli\Wissotzky.png","0","5","26","88","66","36","5","null",""
"","","","","","html-keyboard-response","62","803815","0.0-3.0-1.29","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","863822","0.0-3.0-0.30","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Tuna_ToGo.png', width=""244.4063143445436"", height=""300""></span></span>
                      <span><span><img src='stimuli\ChocolateSpread.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target2","target1","stimuli\Kikkoman.png","stimuli\ChocolateSpread.png","stimuli\Tuna_ToGo.png","3","4","22","72","68","45.5","1","null",""
"","","","","","html-keyboard-response","64","923824","0.0-3.0-1.30","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","65","983828","0.0-3.0-0.31","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                    </p>","null","trinary","","target1","distractor","target2","stimuli\Kikkoman.png","stimuli\Splendid.PNG","stimuli\Tapuchips.PNG","3","6","10","72","65.5","61","3","null",""
"","","","","","html-keyboard-response","66","1043823","0.0-3.0-1.31","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","67","1103824","0.0-3.0-0.32","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                      <span><span><img src='stimuli\Fitness_Chocolate.png', width=""300"", height=""237.33239237826393""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                    </p>","null","trinary","","distractor","target1","target2","stimuli\Fitness_Chocolate.png","stimuli\Zipperbigbag.png","stimuli\Barackemaybe.png","2","8","30","78.5","62","20.5","6","null",""
"","","","","","html-keyboard-response","68","1163826","0.0-3.0-1.32","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","69","1223818","0.0-3.0-0.33","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Barackemaybe.png', width=""300"", height=""157.0212765957447""></span></span>
                      <span><span><img src='stimuli\ChocolateSpread.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target2","target1","stimuli\Kikkoman.png","stimuli\ChocolateSpread.png","stimuli\Barackemaybe.png","3","4","30","72","68","20.5","1","null",""
"","","","","","html-keyboard-response","70","1283828","0.0-3.0-1.33","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","71","1343821","0.0-3.0-0.34","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\FuseTeaGreen.png', width=""123.39331619537275"", height=""300""></span></span>
                      <span><span><img src='stimuli\Tuna_ToGo.png', width=""244.4063143445436"", height=""300""></span></span>
                      <span><span><img src='stimuli\Branflakesextra.png', width=""300"", height=""300""></span></span>
                    </p>","null","trinary","","target2","distractor","target1","stimuli\Branflakesextra.png","stimuli\FuseTeaGreen.png","stimuli\Tuna_ToGo.png","0","5","22","88","66","45.5","5","null",""
"","","","","","html-keyboard-response","72","1403816","0.0-3.0-1.34","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","73","1463818","0.0-3.0-0.35","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Wissotzky.png', width=""189.69072164948454"", height=""300""></span></span>
                      <span><span><img src='stimuli\Kikkoman.png', width=""92.43604004449388"", height=""300""></span></span>
                      <span><span><img src='stimuli\Splendid.PNG', width=""174.19354838709677"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target1","target2","stimuli\Kikkoman.png","stimuli\Splendid.PNG","stimuli\Wissotzky.png","3","6","26","72","65.5","36","3","null",""
"","","","","","html-keyboard-response","74","1523827","0.0-3.0-1.35","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","75","1583815","0.0-3.0-0.36","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                      <span><span><img src='stimuli\Sano99.png', width=""287.6470588235294"", height=""300""></span></span>
                    </p>","null","trinary","","distractor","target2","target1","stimuli\Sano99.png","stimuli\Zipperbigbag.png","stimuli\Tapuchips.PNG","1","8","10","78.5","62","61","7","null",""
"","","","","","html-keyboard-response","76","2762758","0.0-3.0-1.36","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","77","2767016","0.0-3.0-0.37","01","null","
                    <p class=""options"">
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                      <span><span><img src='stimuli\Fitness_Chocolate.png', width=""300"", height=""237.33239237826393""></span></span>
                    </p>","null","trinary","","distractor","target2","target1","stimuli\Fitness_Chocolate.png","stimuli\Zipperbigbag.png","stimuli\Tapuchips.PNG","2","8","10","78.5","62","61","6","null",""
"","","","","","html-keyboard-response","78","2773812","0.0-3.0-1.37","01","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","",""
