success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,triad_index,one_key,two_key,three_key,target1,target2,distractor,target1_rank,target2_rank,distractor_rank,target1_choice,target2_choice,distractor_choice,targets_diff,is_blank,actual_choice,,,FALSE
,,,,,html-keyboard-response,61,319970,0.0-3.0-0.29,105,1053,"
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                    </p>",1,trinary,,target2,distractor,target1,stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\Filtunamaybe.png,2,9,15,78.33333333,70,63.33333333,7,0,target2,,,FALSE
,,,,,html-keyboard-response,62,328458,0.0-3.0-1.29,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,63,329900,0.0-3.0-0.30,105,1438,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Filtunamaybe.png', width=""300"", height=""194.5""></span></span>
                    </p>",2,trinary,,target1,target2,distractor,stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\Filtunamaybe.png,3,9,15,74.33333333,70,63.33333333,6,0,target2,,,FALSE
,,,,,html-keyboard-response,64,338034,0.0-3.0-1.30,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,65,339400,0.0-3.0-0.31,105,1360,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                    </p>",2,trinary,,target1,distractor,target2,stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\Tapuchips.PNG,2,9,31,78.33333333,70,35,7,0,distractor,,,FALSE
,,,,,html-keyboard-response,66,347689,0.0-3.0-1.31,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,67,348697,0.0-3.0-0.32,105,1002,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                    </p>",1,trinary,,distractor,target2,target1,stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\Tapuchips.PNG,3,9,31,74.33333333,70,35,6,0,distractor,,,FALSE
,,,,,html-keyboard-response,68,358065,0.0-3.0-1.32,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,69,359134,0.0-3.0-0.33,105,1063,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Quakermaybe.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\ParaChocolate.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                    </p>",2,trinary,,target2,distractor,target1,stimuli\Prince.PNG,stimuli\Quakermaybe.png,stimuli\ParaChocolate.png,1,6,27,85,71.66666667,40.33333333,5,0,distractor,,,FALSE
,,,,,html-keyboard-response,70,368335,0.0-3.0-1.33,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,71,369555,0.0-3.0-0.34,105,1214,"
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zipperbigbag.png', width=""300"", height=""104.73372781065088""></span></span>
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                    </p>",1,trinary,,target2,target1,distractor,stimuli\Zipperbigbag.png,stimuli\CocaCola2L.png,stimuli\FuzeTea.png,2,9,11,78.33333333,70,70,7,0,target2,,,FALSE
,,,,,html-keyboard-response,72,378256,0.0-3.0-1.34,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,73,379380,0.0-3.0-0.35,105,1120,"
                    <p class=""options"">
                      <span><span><img src='stimuli\CocaCola2L.png', width=""300"", height=""300""></span></span>
                      <span><span><img src='stimuli\Zippersmallbag.png', width=""300"", height=""170.83854818523153""></span></span>
                      <span><span><img src='stimuli\FuzeTea.png', width=""149.079754601227"", height=""300""></span></span>
                    </p>",1,trinary,,target2,target1,distractor,stimuli\Zippersmallbag.png,stimuli\CocaCola2L.png,stimuli\FuzeTea.png,3,9,11,74.33333333,70,70,6,0,target2,,,FALSE
,,,,,html-keyboard-response,74,387929,0.0-3.0-1.35,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
,,,,,html-keyboard-response,75,389227,0.0-3.0-0.36,105,1294,"
                    <p class=""options"">
                      <span><span><img src='stimuli\Tapuchips.PNG', width=""229.65328467153284"", height=""300""></span></span>
                      <span><span><img src='stimuli\FuseTeaGreen.png', width=""123.39331619537275"", height=""300""></span></span>
                      <span><span><img src='stimuli\Prince.PNG', width=""291.19638826185104"", height=""300""></span></span>
                    </p>",1,trinary,,distractor,target2,target1,stimuli\Prince.PNG,stimuli\FuseTeaGreen.png,stimuli\Tapuchips.PNG,1,10,31,85,70,35,9,0,distractor,,,FALSE
,,,,,html-keyboard-response,76,398409,0.0-3.0-1.36,105,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,TRUE
